Serial,Latitude,Longitude,Type,SensorType,Code,BeginTime,EndTime,LAT,LNG
PI040298AD5J215002,-7.192,52.581,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_fvs41a9v,2018-09-10T13:57:40.000Z,2019-04-06T17:32:12.000Z,52.581,-7.192
PI040298AD5J215002,-7.192,52.581,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_fvs41a9v,2018-09-10T13:57:40.000Z,2019-04-06T17:32:12.000Z,52.581,-7.192
PI040298AD5J214263,-7.191,52.581,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_14gpkd19,2018-09-10T14:09:42.000Z,2018-09-13T11:54:42.000Z,52.581,-7.191
PI040298AD5J214263,-7.191,52.581,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_14gpkd19,2018-09-10T14:09:42.000Z,2018-09-13T11:54:42.000Z,52.581,-7.191
PI040298AD5J214263,-7.191,52.581,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_14gpkd19,2018-09-10T14:09:42.000Z,2018-09-13T11:54:42.000Z,52.581,-7.191
PI040298AD5J214263,-7.191,52.581,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_14gpkd19,2018-09-10T14:09:42.000Z,2018-09-13T11:54:42.000Z,52.581,-7.191
PI040298AD5J214263,-7.191,52.581,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_14gpkd19,2018-09-10T14:09:42.000Z,2018-09-13T11:54:42.000Z,52.581,-7.191
PI040298AD5J214263,-7.191,52.581,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_14gpkd19,2018-09-10T14:09:42.000Z,2018-09-13T11:54:42.000Z,52.581,-7.191
PI040297AD5I205735,-3.015,56.394,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_akpf3d5z,2018-09-10T14:24:00.000Z,2018-09-19T17:53:41.000Z,56.394,-3.015
PI040297AD5I205735,-3.015,56.394,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_akpf3d5z,2018-09-10T14:24:00.000Z,2018-09-19T17:53:41.000Z,56.394,-3.015
